method,return_type,return_description
java.util.Calendar.clear(),void,
java.util.Calendar.clear(int),void,
java.util.Calendar.isSet(int),boolean,true if the given calendar field has a value set; false otherwise.
"java.util.Calendar.getDisplayName(int,int,Locale)",String,"the string representation of the given field in the given style, or null if no string representation is applicable."
"java.util.Calendar.getDisplayNames(int,int,Locale)","Map&lt;String,Integer&gt;","a Map containing all display names in style and locale and their field values, or null if no display names are defined for field"
java.util.Calendar.complete(),void,
java.util.Calendar.getAvailableCalendarTypes(),Set&lt;String&gt;,an unmodifiable Set containing all available calendar types
java.util.Calendar.getCalendarType(),String,the LDML-defined calendar type or the class name of this Calendar instance
java.util.Calendar.equals(Object),boolean,true if this object is equal to obj; false otherwise.
java.util.Calendar.hashCode(),int,a hash code value for this object.
java.util.Calendar.before(Object),boolean,true if the time of this Calendar is before the time represented by when; false otherwise.
java.util.Calendar.after(Object),boolean,true if the time of this Calendar is after the time represented by when; false otherwise.
java.util.Calendar.compareTo(Calendar),int,the value 0 if the time represented by the argument is equal to the time represented by this Calendar; a value less than 0 if the time of this Calendar is before the time represented by the argument; and a value greater than 0 if the time of this Calendar is after the time represented by the argument.
"java.util.Calendar.add(int,int)",abstractvoid,
"java.util.Calendar.roll(int,boolean)",abstractvoid,
"java.util.Calendar.roll(int,int)",void,
java.util.Calendar.setTimeZone(TimeZone),void,
java.util.Calendar.getTimeZone(),TimeZone,the time zone object associated with this calendar.
java.util.Calendar.setLenient(boolean),void,
java.util.Calendar.isLenient(),boolean,true if the interpretation mode of this calendar is lenient; false otherwise.
java.util.Calendar.setFirstDayOfWeek(int),void,
java.util.Calendar.getFirstDayOfWeek(),int,the first day of the week.
java.util.Calendar.setMinimalDaysInFirstWeek(int),void,
java.util.Calendar.getMinimalDaysInFirstWeek(),int,the minimal days required in the first week of the year.
java.util.Calendar.isWeekDateSupported(),boolean,true if this Calendar supports week dates; false otherwise.
java.util.Calendar.getWeekYear(),int,the week year of this Calendar
"java.util.Calendar.setWeekDate(int,int,int)",void,
java.util.Calendar.getWeeksInWeekYear(),int,the number of weeks in the week year.
java.util.Calendar.getMinimum(int),abstractint,the minimum value for the given calendar field.
java.util.Calendar.getMaximum(int),abstractint,the maximum value for the given calendar field.
java.util.Calendar.getGreatestMinimum(int),abstractint,the highest minimum value for the given calendar field.
java.util.Calendar.getLeastMaximum(int),abstractint,the lowest maximum value for the given calendar field.
java.util.Calendar.getActualMinimum(int),int,the minimum of the given calendar field for the time value of this Calendar
java.util.Calendar.getActualMaximum(int),int,the maximum of the given calendar field for the time value of this Calendar
java.util.Calendar.clone(),Object,a copy of this object.
java.util.Calendar.toString(),String,a string representation of this calendar.
java.util.Calendar.toInstant(),Instant,the instant representing the same point on the time-line
java.util.Calendar.Builder.setInstant(long),Calendar.Builder,this Calendar.Builder
java.util.Calendar.Builder.setInstant(Date),Calendar.Builder,this Calendar.Builder
"java.util.Calendar.Builder.set(int,int)",Calendar.Builder,this Calendar.Builder
java.util.Calendar.Builder.setFields(int...),Calendar.Builder,this Calendar.Builder
"java.util.Calendar.Builder.setDate(int,int,int)",Calendar.Builder,this Calendar.Builder
"java.util.Calendar.Builder.setTimeOfDay(int,int,int)",Calendar.Builder,this Calendar.Builder
"java.util.Calendar.Builder.setTimeOfDay(int,int,int,int)",Calendar.Builder,this Calendar.Builder
"java.util.Calendar.Builder.setWeekDate(int,int,int)",Calendar.Builder,this Calendar.Builder
java.util.Calendar.Builder.setTimeZone(TimeZone),Calendar.Builder,this Calendar.Builder
java.util.Calendar.Builder.setLenient(boolean),Calendar.Builder,this Calendar.Builder
java.util.Calendar.Builder.setCalendarType(String),Calendar.Builder,this Calendar.Builder
java.util.Calendar.Builder.setLocale(Locale),Calendar.Builder,this Calendar.Builder
"java.util.Calendar.Builder.setWeekDefinition(int,int)",Calendar.Builder,this Calendar.Builder
java.util.Calendar.Builder.build(),Calendar,a Calendar built with parameters of this Calendar.Builder
java.util.Collections.sort(List&lt;T&gt;),&lt;T extends Comparable&lt;? super T&gt;&gt;void,
"java.util.Collections.sort(List&lt;T&gt;,Comparator&lt;?)",&lt;T&gt;void,
"java.util.Collections.binarySearch(List&lt;?,T)",&lt;T&gt;int,"the index of the search key, if it is contained in the list; otherwise, (-(insertion point) - 1). The insertion point is defined as the point at which the key would be inserted into the list: the index of the first element greater than the key, or list.size() if all elements in the list are less than the specified key. Note that this guarantees that the return value will be &gt;= 0 if and only if the key is found."
"java.util.Collections.binarySearch(List&lt;?,T,Comparator&lt;?)",&lt;T&gt;int,"the index of the search key, if it is contained in the list; otherwise, (-(insertion point) - 1). The insertion point is defined as the point at which the key would be inserted into the list: the index of the first element greater than the key, or list.size() if all elements in the list are less than the specified key. Note that this guarantees that the return value will be &gt;= 0 if and only if the key is found."
java.util.Collections.reverse(List&lt;?&gt;),void,
java.util.Collections.shuffle(List&lt;?&gt;),void,
"java.util.Collections.shuffle(List&lt;?&gt;,Random)",void,
"java.util.Collections.swap(List&lt;?&gt;,int,int)",void,
"java.util.Collections.fill(List&lt;?,T)",&lt;T&gt;void,
"java.util.Collections.copy(List&lt;?,List&lt;?)",&lt;T&gt;void,
java.util.Collections.min(Collection&lt;?),&lt;T extends Object &amp; Comparable&lt;? super T&gt;&gt;T,"the minimum element of the given collection, according to the natural ordering of its elements."
"java.util.Collections.min(Collection&lt;?,Comparator&lt;?)",&lt;T&gt;T,"the minimum element of the given collection, according to the specified comparator."
java.util.Collections.max(Collection&lt;?),&lt;T extends Object &amp; Comparable&lt;? super T&gt;&gt;T,"the maximum element of the given collection, according to the natural ordering of its elements."
"java.util.Collections.max(Collection&lt;?,Comparator&lt;?)",&lt;T&gt;T,"the maximum element of the given collection, according to the specified comparator."
"java.util.Collections.rotate(List&lt;?&gt;,int)",void,
"java.util.Collections.replaceAll(List&lt;T&gt;,T,T)",&lt;T&gt;boolean,true if list contained one or more elements e such that (oldVal==null ? e==null : oldVal.equals(e)).
"java.util.Collections.indexOfSubList(List&lt;?&gt;,List&lt;?&gt;)",int,"the starting position of the first occurrence of the specified target list within the specified source list, or -1 if there is no such occurrence."
"java.util.Collections.lastIndexOfSubList(List&lt;?&gt;,List&lt;?&gt;)",int,"the starting position of the last occurrence of the specified target list within the specified source list, or -1 if there is no such occurrence."
java.util.Collections.unmodifiableCollection(Collection&lt;?),&lt;T&gt;Collection&lt;T&gt;,an unmodifiable view of the specified collection.
java.util.Collections.unmodifiableSet(Set&lt;?),&lt;T&gt;Set&lt;T&gt;,an unmodifiable view of the specified set.
java.util.Collections.unmodifiableSortedSet(SortedSet&lt;T&gt;),&lt;T&gt;SortedSet&lt;T&gt;,an unmodifiable view of the specified sorted set.
java.util.Collections.unmodifiableNavigableSet(NavigableSet&lt;T&gt;),&lt;T&gt;NavigableSet&lt;T&gt;,an unmodifiable view of the specified navigable set
java.util.Collections.unmodifiableList(List&lt;?),&lt;T&gt;List&lt;T&gt;,an unmodifiable view of the specified list.
"java.util.Collections.unmodifiableMap(Map&lt;?,?)","&lt;K,V&gt;Map&lt;K,V&gt;",an unmodifiable view of the specified map.
"java.util.Collections.unmodifiableSortedMap(SortedMap&lt;K,?)","&lt;K,V&gt;SortedMap&lt;K,V&gt;",an unmodifiable view of the specified sorted map.
"java.util.Collections.unmodifiableNavigableMap(NavigableMap&lt;K,?)","&lt;K,V&gt;NavigableMap&lt;K,V&gt;",an unmodifiable view of the specified navigable map
java.util.Collections.synchronizedCollection(Collection&lt;T&gt;),&lt;T&gt;Collection&lt;T&gt;,a synchronized view of the specified collection.
java.util.Collections.synchronizedSet(Set&lt;T&gt;),&lt;T&gt;Set&lt;T&gt;,a synchronized view of the specified set.
java.util.Collections.synchronizedSortedSet(SortedSet&lt;T&gt;),&lt;T&gt;SortedSet&lt;T&gt;,a synchronized view of the specified sorted set.
java.util.Collections.synchronizedNavigableSet(NavigableSet&lt;T&gt;),&lt;T&gt;NavigableSet&lt;T&gt;,a synchronized view of the specified navigable set
java.util.Collections.synchronizedList(List&lt;T&gt;),&lt;T&gt;List&lt;T&gt;,a synchronized view of the specified list.
"java.util.Collections.synchronizedMap(Map&lt;K,V&gt;)","&lt;K,V&gt;Map&lt;K,V&gt;",a synchronized view of the specified map.
"java.util.Collections.synchronizedSortedMap(SortedMap&lt;K,V&gt;)","&lt;K,V&gt;SortedMap&lt;K,V&gt;",a synchronized view of the specified sorted map.
"java.util.Collections.synchronizedNavigableMap(NavigableMap&lt;K,V&gt;)","&lt;K,V&gt;NavigableMap&lt;K,V&gt;",a synchronized view of the specified navigable map.
"java.util.Collections.checkedCollection(Collection&lt;E&gt;,Class&lt;E&gt;)",&lt;E&gt;Collection&lt;E&gt;,a dynamically typesafe view of the specified collection
"java.util.Collections.checkedQueue(Queue&lt;E&gt;,Class&lt;E&gt;)",&lt;E&gt;Queue&lt;E&gt;,a dynamically typesafe view of the specified queue
"java.util.Collections.checkedSet(Set&lt;E&gt;,Class&lt;E&gt;)",&lt;E&gt;Set&lt;E&gt;,a dynamically typesafe view of the specified set
"java.util.Collections.checkedSortedSet(SortedSet&lt;E&gt;,Class&lt;E&gt;)",&lt;E&gt;SortedSet&lt;E&gt;,a dynamically typesafe view of the specified sorted set
"java.util.Collections.checkedNavigableSet(NavigableSet&lt;E&gt;,Class&lt;E&gt;)",&lt;E&gt;NavigableSet&lt;E&gt;,a dynamically typesafe view of the specified navigable set
"java.util.Collections.checkedList(List&lt;E&gt;,Class&lt;E&gt;)",&lt;E&gt;List&lt;E&gt;,a dynamically typesafe view of the specified list
"java.util.Collections.checkedMap(Map&lt;K,V&gt;,Class&lt;K&gt;,Class&lt;V&gt;)","&lt;K,V&gt;Map&lt;K,V&gt;",a dynamically typesafe view of the specified map
"java.util.Collections.checkedSortedMap(SortedMap&lt;K,V&gt;,Class&lt;K&gt;,Class&lt;V&gt;)","&lt;K,V&gt;SortedMap&lt;K,V&gt;",a dynamically typesafe view of the specified map
"java.util.Collections.checkedNavigableMap(NavigableMap&lt;K,V&gt;,Class&lt;K&gt;,Class&lt;V&gt;)","&lt;K,V&gt;NavigableMap&lt;K,V&gt;",a dynamically typesafe view of the specified map
java.util.Collections.emptyIterator(),&lt;T&gt;Iterator&lt;T&gt;,
java.util.Collections.emptyListIterator(),&lt;T&gt;ListIterator&lt;T&gt;,
java.util.Collections.emptyEnumeration(),&lt;T&gt;Enumeration&lt;T&gt;,
java.util.Collections.emptySet(),&lt;T&gt;Set&lt;T&gt;,the empty set
java.util.Collections.emptySortedSet(),&lt;E&gt;SortedSet&lt;E&gt;,the empty sorted set
java.util.Collections.emptyNavigableSet(),&lt;E&gt;NavigableSet&lt;E&gt;,the empty navigable set
java.util.Collections.emptyList(),&lt;T&gt;List&lt;T&gt;,an empty immutable list
java.util.Collections.emptyMap(),"&lt;K,V&gt;Map&lt;K,V&gt;",an empty map
java.util.Collections.emptySortedMap(),"&lt;K,V&gt;SortedMap&lt;K,V&gt;",an empty sorted map
java.util.Collections.emptyNavigableMap(),"&lt;K,V&gt;NavigableMap&lt;K,V&gt;",an empty navigable map
java.util.Collections.singleton(T),&lt;T&gt;Set&lt;T&gt;,an immutable set containing only the specified object.
java.util.Collections.singletonList(T),&lt;T&gt;List&lt;T&gt;,an immutable list containing only the specified object.
"java.util.Collections.singletonMap(K,V)","&lt;K,V&gt;Map&lt;K,V&gt;",an immutable map containing only the specified key-value mapping.
"java.util.Collections.nCopies(int,T)",&lt;T&gt;List&lt;T&gt;,an immutable list consisting of n copies of the specified object.
java.util.Collections.reverseOrder(),&lt;T&gt;Comparator&lt;T&gt;,A comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface.
java.util.Collections.reverseOrder(Comparator&lt;T&gt;),&lt;T&gt;Comparator&lt;T&gt;,A comparator that imposes the reverse ordering of the specified comparator.
java.util.Collections.enumeration(Collection&lt;T&gt;),&lt;T&gt;Enumeration&lt;T&gt;,an enumeration over the specified collection.
java.util.Collections.list(Enumeration&lt;T&gt;),&lt;T&gt;ArrayList&lt;T&gt;,an array list containing the elements returned by the specified enumeration.
"java.util.Collections.frequency(Collection&lt;?&gt;,Object)",int,the number of elements in c equal to o
"java.util.Collections.disjoint(Collection&lt;?&gt;,Collection&lt;?&gt;)",boolean,true if the two specified collections have no elements in common.
"java.util.Collections.addAll(Collection&lt;?,T...)",&lt;T&gt;boolean,true if the collection changed as a result of the call
"java.util.Collections.newSetFromMap(Map&lt;E,Boolean&gt;)",&lt;E&gt;Set&lt;E&gt;,the set backed by the map
java.util.Collections.asLifoQueue(Deque&lt;T&gt;),&lt;T&gt;Queue&lt;T&gt;,the queue
java.util.Currency.getInstance(String),Currency,the Currency instance for the given currency code
java.util.Currency.getInstance(Locale),Currency,"the Currency instance for the country of the given locale, or null"
java.util.Currency.getAvailableCurrencies(),Set&lt;Currency&gt;,"the set of available currencies. If there is no currency available in the runtime, the returned set is empty."
java.util.Currency.getCurrencyCode(),String,the ISO 4217 currency code of this currency.
java.util.Currency.getSymbol(),String,the symbol of this currency for the default DISPLAY locale
java.util.Currency.getSymbol(Locale),String,the symbol of this currency for the specified locale
java.util.Currency.getDefaultFractionDigits(),int,the default number of fraction digits used with this currency
java.util.Currency.getNumericCode(),int,the ISO 4217 numeric code of this currency
java.util.Currency.getDisplayName(),String,the display name of this currency for the default DISPLAY locale
java.util.Currency.getDisplayName(Locale),String,the display name of this currency for the specified locale
java.util.Currency.toString(),String,the ISO 4217 currency code of this currency
java.util.Date.clone(),Object,a clone of this instance.
"java.util.Date.UTC(int,int,int,int,int,int)",long,"the number of milliseconds since January 1, 1970, 00:00:00 GMT for the date and time specified by the arguments."
java.util.Date.parse(String),long,
java.util.Date.getYear(),int,"the year represented by this date, minus 1900."
java.util.Date.setYear(int),void,
java.util.Date.getMonth(),int,the month represented by this date.
java.util.Date.setMonth(int),void,
java.util.Date.getDate(),int,the day of the month represented by this date.
java.util.Date.setDate(int),void,
java.util.Date.getDay(),int,the day of the week represented by this date.
java.util.Date.getHours(),int,the hour represented by this date.
java.util.Date.setHours(int),void,
java.util.Date.getMinutes(),int,the number of minutes past the hour represented by this date.
java.util.Date.setMinutes(int),void,
java.util.Date.getSeconds(),int,the number of seconds past the minute represented by this date.
java.util.Date.setSeconds(int),void,
java.util.Date.getTime(),long,"the number of milliseconds since January 1, 1970, 00:00:00 GMT represented by this date."
java.util.Date.setTime(long),void,
java.util.Date.before(Date),boolean,true if and only if the instant of time represented by this Date object is strictly earlier than the instant represented by when; false otherwise.
java.util.Date.after(Date),boolean,true if and only if the instant represented by this Date object is strictly later than the instant represented by when; false otherwise.
java.util.Date.equals(Object),boolean,true if the objects are the same; false otherwise.
java.util.Date.compareTo(Date),int,the value 0 if the argument Date is equal to this Date; a value less than 0 if this Date is before the Date argument; and a value greater than 0 if this Date is after the Date argument.
java.util.Date.hashCode(),int,a hash code value for this object.
java.util.Date.toString(),String,
java.util.Date.toLocaleString(),String,"a string representation of this date, using the locale conventions."
java.util.Date.toGMTString(),String,
java.util.Date.getTimezoneOffset(),int,"the time-zone offset, in minutes, for the current time zone."
java.util.Date.from(Instant),Date,a Date representing the same point on the time-line as the provided instant
java.util.Date.toInstant(),Instant,an instant representing the same point on the time-line as this Date object
java.util.Dictionary.size(),abstractint,the number of keys in this dictionary.
java.util.Dictionary.isEmpty(),abstractboolean,true if this dictionary maps no keys to values; false otherwise.
java.util.Dictionary.keys(),abstractEnumeration&lt;K&gt;,an enumeration of the keys in this dictionary.
java.util.Dictionary.elements(),abstractEnumeration&lt;V&gt;,an enumeration of the values in this dictionary.
java.util.Dictionary.get(Object),abstractV,the value to which the key is mapped in this dictionary;
"java.util.Dictionary.put(K,V)",abstractV,"the previous value to which the key was mapped in this dictionary, or null if the key did not have a previous mapping."
java.util.Dictionary.remove(Object),abstractV,"the value to which the key had been mapped in this dictionary, or null if the key did not have a mapping."
java.util.DoubleSummaryStatistics.accept(double),void,
java.util.DoubleSummaryStatistics.combine(DoubleSummaryStatistics),void,
java.util.DoubleSummaryStatistics.getCount(),long,the count of values
java.util.DoubleSummaryStatistics.getSum(),double,"the sum of values, or zero if none"
java.util.DoubleSummaryStatistics.getMin(),double,"the minimum recorded value, Double.NaN if any recorded value was NaN or Double.POSITIVE_INFINITY if no values were recorded"
java.util.DoubleSummaryStatistics.getMax(),double,"the maximum recorded value, Double.NaN if any recorded value was NaN or Double.NEGATIVE_INFINITY if no values were recorded"
java.util.DoubleSummaryStatistics.getAverage(),double,"the arithmetic mean of values, or zero if none"
java.util.DoubleSummaryStatistics.toString(),String,a string representation of the object.
java.util.EnumMap.size(),int,the number of key-value mappings in this map
java.util.EnumMap.containsValue(Object),boolean,true if this map maps one or more keys to this value
java.util.EnumMap.containsKey(Object),boolean,true if this map contains a mapping for the specified key
java.util.EnumMap.get(Object),V,"the value to which the specified key is mapped, or null if this map contains no mapping for the key"
"java.util.EnumMap.put(K,V)",V,"the previous value associated with specified key, or null if there was no mapping for key. (A null return can also indicate that the map previously associated null with the specified key.)"
java.util.EnumMap.remove(Object),V,"the previous value associated with specified key, or null if there was no entry for key. (A null return can also indicate that the map previously associated null with the specified key.)"
"java.util.EnumMap.putAll(Map&lt;?,?)",void,
java.util.EnumMap.clear(),void,
java.util.EnumMap.keySet(),Set&lt;K&gt;,a set view of the keys contained in this enum map
java.util.EnumMap.values(),Collection&lt;V&gt;,a collection view of the values contained in this map
java.util.EnumMap.entrySet(),"Set&lt;Map.Entry&lt;K,V&gt;&gt;",a set view of the mappings contained in this enum map
java.util.EnumMap.equals(Object),boolean,true if the specified object is equal to this map
java.util.EnumMap.hashCode(),int,the hash code value for this map
java.util.EnumMap.clone(),"EnumMap&lt;K,V&gt;",a shallow copy of this enum map
java.util.EnumSet.noneOf(Class&lt;E&gt;),&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,An empty enum set of the specified type.
java.util.EnumSet.allOf(Class&lt;E&gt;),&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,An enum set containing all the elements in the specified type.
java.util.EnumSet.copyOf(EnumSet&lt;E&gt;),&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,A copy of the specified enum set.
java.util.EnumSet.copyOf(Collection&lt;E&gt;),&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,An enum set initialized from the given collection.
java.util.EnumSet.complementOf(EnumSet&lt;E&gt;),&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,The complement of the specified set in this set
java.util.EnumSet.of(E),&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,an enum set initially containing the specified element
"java.util.EnumSet.of(E,E)",&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,an enum set initially containing the specified elements
"java.util.EnumSet.of(E,E,E)",&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,an enum set initially containing the specified elements
"java.util.EnumSet.of(E,E,E,E)",&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,an enum set initially containing the specified elements
"java.util.EnumSet.of(E,E,E,E,E)",&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,an enum set initially containing the specified elements
"java.util.EnumSet.of(E,E...)",&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,an enum set initially containing the specified elements
"java.util.EnumSet.range(E,E)",&lt;E extends Enum&lt;E&gt;&gt;EnumSet&lt;E&gt;,an enum set initially containing all of the elements in the range defined by the two specified endpoints
java.util.EnumSet.clone(),EnumSet&lt;E&gt;,a copy of this set
java.util.EventListenerProxy.getListener(),T,the listener associated with the proxy
java.util.EventObject.getSource(),Object,The object on which the Event initially occurred.
java.util.EventObject.toString(),String,A a String representation of this EventObject.
java.util.Formatter.locale(),Locale,"null if no localization is applied, otherwise a locale"
java.util.Formatter.out(),Appendable,The destination for the output
java.util.Formatter.toString(),String,The result of invoking toString() on the destination for the output
java.util.Formatter.flush(),void,
java.util.Formatter.close(),void,
java.util.Formatter.ioException(),IOException,The last exception thrown by the Appendable or null if no such exception exists.
"java.util.Formatter.format(String,Object...)",Formatter,This formatter
"java.util.Formatter.format(Locale,String,Object...)",Formatter,This formatter
java.util.GregorianCalendar.setGregorianChange(Date),void,
java.util.GregorianCalendar.getGregorianChange(),Date,the Gregorian cutover date for this GregorianCalendar object.
java.util.GregorianCalendar.isLeapYear(int),boolean,true if the given year is a leap year; false otherwise.
java.util.GregorianCalendar.getCalendarType(),String,"""gregory"""
java.util.GregorianCalendar.equals(Object),boolean,true if this object is equal to obj; false otherwise.
java.util.GregorianCalendar.hashCode(),int,a hash code value for this object.
"java.util.GregorianCalendar.add(int,int)",void,
"java.util.GregorianCalendar.roll(int,boolean)",void,
"java.util.GregorianCalendar.roll(int,int)",void,
java.util.GregorianCalendar.getMinimum(int),int,the minimum value for the given calendar field.
java.util.GregorianCalendar.getMaximum(int),int,the maximum value for the given calendar field.
java.util.GregorianCalendar.getGreatestMinimum(int),int,the highest minimum value for the given calendar field.
java.util.GregorianCalendar.getLeastMaximum(int),int,the lowest maximum value for the given calendar field.
java.util.GregorianCalendar.getActualMinimum(int),int,the minimum of the given field for the time value of this GregorianCalendar
java.util.GregorianCalendar.getActualMaximum(int),int,the maximum of the given field for the time value of this GregorianCalendar
java.util.GregorianCalendar.clone(),Object,a copy of this object.
java.util.GregorianCalendar.getTimeZone(),TimeZone,the time zone object associated with this calendar.
java.util.GregorianCalendar.setTimeZone(TimeZone),void,
java.util.GregorianCalendar.isWeekDateSupported(),boolean,true (always)
java.util.GregorianCalendar.getWeekYear(),int,"the week year represented by this GregorianCalendar. If the ERA value is BC, the year is represented by 0 or a negative number: BC 1 is 0, BC 2 is -1, BC 3 is -2, and so on."
"java.util.GregorianCalendar.setWeekDate(int,int,int)",void,
java.util.GregorianCalendar.getWeeksInWeekYear(),int,the number of weeks in the week year.
java.util.GregorianCalendar.computeFields(),void,
java.util.GregorianCalendar.computeTime(),void,
java.util.GregorianCalendar.toZonedDateTime(),ZonedDateTime,a zoned date-time representing the same point on the time-line as this gregorian calendar
java.util.GregorianCalendar.from(ZonedDateTime),GregorianCalendar,the gregorian calendar representing the same point on the time-line as the zoned date-time provided
java.util.HashMap.size(),int,the number of key-value mappings in this map
java.util.HashMap.isEmpty(),boolean,true if this map contains no key-value mappings
java.util.HashMap.get(Object),V,"the value to which the specified key is mapped, or null if this map contains no mapping for the key"
java.util.HashMap.containsKey(Object),boolean,true if this map contains a mapping for the specified key.
"java.util.HashMap.put(K,V)",V,"the previous value associated with key, or null if there was no mapping for key. (A null return can also indicate that the map previously associated null with key.)"
"java.util.HashMap.putAll(Map&lt;?,?)",void,
java.util.HashMap.remove(Object),V,"the previous value associated with key, or null if there was no mapping for key. (A null return can also indicate that the map previously associated null with key.)"
java.util.HashMap.clear(),void,
java.util.HashMap.containsValue(Object),boolean,true if this map maps one or more keys to the specified value
java.util.HashMap.keySet(),Set&lt;K&gt;,a set view of the keys contained in this map
java.util.HashMap.values(),Collection&lt;V&gt;,a view of the values contained in this map
java.util.HashMap.entrySet(),"Set&lt;Map.Entry&lt;K,V&gt;&gt;",a set view of the mappings contained in this map
"java.util.HashMap.getOrDefault(Object,V)",V,"the value to which the specified key is mapped, or defaultValue if this map contains no mapping for the key"
"java.util.HashMap.putIfAbsent(K,V)",V,"the previous value associated with the specified key, or null if there was no mapping for the key. (A null return can also indicate that the map previously associated null with the key, if the implementation supports null values.)"
"java.util.HashMap.remove(Object,Object)",boolean,true if the value was removed
"java.util.HashMap.replace(K,V,V)",boolean,true if the value was replaced
"java.util.HashMap.replace(K,V)",V,"the previous value associated with the specified key, or null if there was no mapping for the key. (A null return can also indicate that the map previously associated null with the key, if the implementation supports null values.)"
"java.util.HashMap.computeIfAbsent(K,Function&lt;?,?)",V,"the current (existing or computed) value associated with the specified key, or null if the computed value is null"
"java.util.HashMap.computeIfPresent(K,BiFunction&lt;?,?,?)",V,"the new value associated with the specified key, or null if none"
"java.util.HashMap.compute(K,BiFunction&lt;?,?,?)",V,"the new value associated with the specified key, or null if none"
"java.util.HashMap.merge(K,V,BiFunction&lt;?,?,?)",V,"the new value associated with the specified key, or null if no value is associated with the key"
"java.util.HashMap.forEach(BiConsumer&lt;?,?)",void,
"java.util.HashMap.replaceAll(BiFunction&lt;?,?,?)",void,
java.util.HashMap.clone(),Object,a shallow copy of this map
java.util.HashSet.iterator(),Iterator&lt;E&gt;,an Iterator over the elements in this set
java.util.HashSet.size(),int,the number of elements in this set (its cardinality)
java.util.HashSet.isEmpty(),boolean,true if this set contains no elements
java.util.HashSet.contains(Object),boolean,true if this set contains the specified element
java.util.HashSet.add(E),boolean,true if this set did not already contain the specified element
java.util.HashSet.remove(Object),boolean,true if the set contained the specified element
java.util.HashSet.clear(),void,
java.util.HashSet.clone(),Object,a shallow copy of this set
java.util.HashSet.spliterator(),Spliterator&lt;E&gt;,a Spliterator over the elements in this set
java.util.Hashtable.size(),int,the number of keys in this hashtable.
java.util.Hashtable.isEmpty(),boolean,true if this hashtable maps no keys to values; false otherwise.
java.util.Hashtable.keys(),Enumeration&lt;K&gt;,an enumeration of the keys in this hashtable.
java.util.Hashtable.elements(),Enumeration&lt;V&gt;,an enumeration of the values in this hashtable.
java.util.Hashtable.contains(Object),boolean,true if and only if some key maps to the value argument in this hashtable as determined by the equals method; false otherwise.
java.util.Hashtable.containsValue(Object),boolean,true if this map maps one or more keys to the specified value
java.util.Hashtable.containsKey(Object),boolean,"true if and only if the specified object is a key in this hashtable, as determined by the equals method; false otherwise."
java.util.Hashtable.get(Object),V,"the value to which the specified key is mapped, or null if this map contains no mapping for the key"
java.util.Hashtable.rehash(),void,
"java.util.Hashtable.put(K,V)",V,"the previous value of the specified key in this hashtable, or null if it did not have one"
java.util.Hashtable.remove(Object),V,"the value to which the key had been mapped in this hashtable, or null if the key did not have a mapping"
"java.util.Hashtable.putAll(Map&lt;?,?)",void,
java.util.Hashtable.clear(),void,
java.util.Hashtable.clone(),Object,a clone of the hashtable
java.util.Hashtable.toString(),String,a string representation of this hashtable
java.util.Hashtable.keySet(),Set&lt;K&gt;,a set view of the keys contained in this map
java.util.Hashtable.entrySet(),"Set&lt;Map.Entry&lt;K,V&gt;&gt;",a set view of the mappings contained in this map
java.util.Hashtable.values(),Collection&lt;V&gt;,a collection view of the values contained in this map
java.util.Hashtable.equals(Object),boolean,true if the specified Object is equal to this Map
java.util.Hashtable.hashCode(),int,a hash code value for this object.
"java.util.Hashtable.getOrDefault(Object,V)",V,"the value to which the specified key is mapped, or defaultValue if this map contains no mapping for the key"
"java.util.Hashtable.forEach(BiConsumer&lt;?,?)",void,
"java.util.Hashtable.replaceAll(BiFunction&lt;?,?,?)",void,
"java.util.Hashtable.putIfAbsent(K,V)",V,"the previous value associated with the specified key, or null if there was no mapping for the key. (A null return can also indicate that the map previously associated null with the key, if the implementation supports null values.)"
"java.util.Hashtable.remove(Object,Object)",boolean,true if the value was removed
"java.util.Hashtable.replace(K,V,V)",boolean,true if the value was replaced
"java.util.Hashtable.replace(K,V)",V,"the previous value associated with the specified key, or null if there was no mapping for the key. (A null return can also indicate that the map previously associated null with the key, if the implementation supports null values.)"
"java.util.Hashtable.computeIfAbsent(K,Function&lt;?,?)",V,"the current (existing or computed) value associated with the specified key, or null if the computed value is null"
"java.util.Hashtable.computeIfPresent(K,BiFunction&lt;?,?,?)",V,"the new value associated with the specified key, or null if none"
"java.util.Hashtable.compute(K,BiFunction&lt;?,?,?)",V,"the new value associated with the specified key, or null if none"
"java.util.Hashtable.merge(K,V,BiFunction&lt;?,?,?)",V,"the new value associated with the specified key, or null if no value is associated with the key"
java.util.IdentityHashMap.size(),int,the number of key-value mappings in this map
