method,throws,throws_description
"java.util.concurrent.ConcurrentHashMap.getOrDefault(Object,V)",NullPointerException , if the specified key is null
"java.util.concurrent.ConcurrentHashMap.computeIfAbsent(K,Function&lt;?,?)",NullPointerException , if the specified key or mappingFunction is null
"java.util.concurrent.ConcurrentHashMap.computeIfPresent(K,BiFunction&lt;?,?,?)",NullPointerException , if the specified key or remappingFunction is null
"java.util.concurrent.ConcurrentHashMap.compute(K,BiFunction&lt;?,?,?)",NullPointerException , if the specified key or remappingFunction is null
"java.util.concurrent.ConcurrentHashMap.merge(K,V,BiFunction&lt;?,?,?)",NullPointerException , if the specified key or the remappingFunction is null
java.util.concurrent.ConcurrentHashMap.contains(Object),NullPointerException , if the specified value is null
java.util.concurrent.ConcurrentHashMap.newKeySet(int),IllegalArgumentException , if the initial capacity of elements is negative
java.util.concurrent.ConcurrentHashMap.keySet(V),NullPointerException , if the mappedValue is null
java.util.concurrent.ConcurrentHashMap.KeySetView.contains(Object),NullPointerException , if the specified key is null
java.util.concurrent.ConcurrentHashMap.KeySetView.remove(Object),NullPointerException , if the specified key is null
java.util.concurrent.ConcurrentHashMap.KeySetView.add(K),NullPointerException , if the specified key is null
java.util.concurrent.ConcurrentHashMap.KeySetView.addAll(Collection&lt;?),NullPointerException , if the collection or any of its elements are null
java.util.concurrent.ConcurrentLinkedDeque.addFirst(E),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedDeque.addLast(E),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedDeque.offerFirst(E),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedDeque.offerLast(E),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedDeque.getFirst(),NoSuchElementException , if this deque is empty
java.util.concurrent.ConcurrentLinkedDeque.getLast(),NoSuchElementException , if this deque is empty
java.util.concurrent.ConcurrentLinkedDeque.removeFirst(),NoSuchElementException , if this deque is empty
java.util.concurrent.ConcurrentLinkedDeque.removeLast(),NoSuchElementException , if this deque is empty
java.util.concurrent.ConcurrentLinkedDeque.offer(E),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedDeque.add(E),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedDeque.remove(),NoSuchElementException , if this deque is empty
java.util.concurrent.ConcurrentLinkedDeque.pop(),NoSuchElementException , if this deque is empty
java.util.concurrent.ConcurrentLinkedDeque.element(),NoSuchElementException , if this deque is empty
java.util.concurrent.ConcurrentLinkedDeque.push(E),NullPointerException , if the specified element is null and this deque does not permit null elements
java.util.concurrent.ConcurrentLinkedDeque.removeFirstOccurrence(Object),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedDeque.removeLastOccurrence(Object),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedDeque.remove(Object),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedDeque.addAll(Collection&lt;?),NullPointerException , if the specified collection or any of its elements are null
java.util.concurrent.ConcurrentLinkedDeque.toArray(T[]),ArrayStoreException , if the runtime type of the specified array is not a supertype of the runtime type of every element in this deque
java.util.concurrent.ConcurrentLinkedQueue.add(E),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedQueue.offer(E),NullPointerException , if the specified element is null
java.util.concurrent.ConcurrentLinkedQueue.addAll(Collection&lt;?),NullPointerException , if the specified collection or any of its elements are null
java.util.concurrent.ConcurrentLinkedQueue.toArray(T[]),ArrayStoreException , if the runtime type of the specified array is not a supertype of the runtime type of every element in this queue
java.util.concurrent.ConcurrentSkipListMap.containsKey(Object),ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.get(Object),ClassCastException , if the specified key cannot be compared with the keys currently in the map
"java.util.concurrent.ConcurrentSkipListMap.getOrDefault(Object,V)",NullPointerException , if the specified key is null
"java.util.concurrent.ConcurrentSkipListMap.put(K,V)",ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.remove(Object),ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.containsValue(Object),NullPointerException , if the specified value is null
"java.util.concurrent.ConcurrentSkipListMap.computeIfAbsent(K,Function&lt;?,?)",NullPointerException , if the specified key is null or the mappingFunction is null
"java.util.concurrent.ConcurrentSkipListMap.computeIfPresent(K,BiFunction&lt;?,?,?)",NullPointerException , if the specified key is null or the remappingFunction is null
"java.util.concurrent.ConcurrentSkipListMap.compute(K,BiFunction&lt;?,?,?)",NullPointerException , if the specified key is null or the remappingFunction is null
"java.util.concurrent.ConcurrentSkipListMap.merge(K,V,BiFunction&lt;?,?,?)",NullPointerException , if the specified key or value is null or the remappingFunction is null
"java.util.concurrent.ConcurrentSkipListMap.putIfAbsent(K,V)",ClassCastException , if the specified key cannot be compared with the keys currently in the map
"java.util.concurrent.ConcurrentSkipListMap.remove(Object,Object)",ClassCastException , if the specified key cannot be compared with the keys currently in the map
"java.util.concurrent.ConcurrentSkipListMap.replace(K,V,V)",ClassCastException , if the specified key cannot be compared with the keys currently in the map
"java.util.concurrent.ConcurrentSkipListMap.replace(K,V)",ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.firstKey(),NoSuchElementException , if this map is empty
java.util.concurrent.ConcurrentSkipListMap.lastKey(),NoSuchElementException , if this map is empty
"java.util.concurrent.ConcurrentSkipListMap.subMap(K,boolean,K,boolean)",ClassCastException ," if fromKey and toKey cannot be compared to one another using this map's comparator (or, if the map has no comparator, using natural ordering). Implementations may, but are not required to, throw this exception if fromKey or toKey cannot be compared to keys currently in the map."
"java.util.concurrent.ConcurrentSkipListMap.headMap(K,boolean)",ClassCastException ," if toKey is not compatible with this map's comparator (or, if the map has no comparator, if toKey does not implement Comparable). Implementations may, but are not required to, throw this exception if toKey cannot be compared to keys currently in the map."
"java.util.concurrent.ConcurrentSkipListMap.tailMap(K,boolean)",ClassCastException ," if fromKey is not compatible with this map's comparator (or, if the map has no comparator, if fromKey does not implement Comparable). Implementations may, but are not required to, throw this exception if fromKey cannot be compared to keys currently in the map."
"java.util.concurrent.ConcurrentSkipListMap.subMap(K,K)",ClassCastException ," if fromKey and toKey cannot be compared to one another using this map's comparator (or, if the map has no comparator, using natural ordering). Implementations may, but are not required to, throw this exception if fromKey or toKey cannot be compared to keys currently in the map."
java.util.concurrent.ConcurrentSkipListMap.headMap(K),ClassCastException ," if toKey is not compatible with this map's comparator (or, if the map has no comparator, if toKey does not implement Comparable). Implementations may, but are not required to, throw this exception if toKey cannot be compared to keys currently in the map."
java.util.concurrent.ConcurrentSkipListMap.tailMap(K),ClassCastException ," if fromKey is not compatible with this map's comparator (or, if the map has no comparator, if fromKey does not implement Comparable). Implementations may, but are not required to, throw this exception if fromKey cannot be compared to keys currently in the map."
java.util.concurrent.ConcurrentSkipListMap.lowerEntry(K),ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.lowerKey(K),ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.floorEntry(K),ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.floorKey(K),ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.ceilingEntry(K),ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.ceilingKey(K),ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.higherEntry(K),ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListMap.higherKey(K),ClassCastException , if the specified key cannot be compared with the keys currently in the map
java.util.concurrent.ConcurrentSkipListSet.contains(Object),ClassCastException , if the specified element cannot be compared with the elements currently in this set
java.util.concurrent.ConcurrentSkipListSet.add(E),ClassCastException , if e cannot be compared with the elements currently in this set
java.util.concurrent.ConcurrentSkipListSet.remove(Object),ClassCastException , if o cannot be compared with the elements currently in this set
java.util.concurrent.ConcurrentSkipListSet.removeAll(Collection&lt;?&gt;),ClassCastException , if the types of one or more elements in this set are incompatible with the specified collection
java.util.concurrent.ConcurrentSkipListSet.lower(E),ClassCastException , if the specified element cannot be compared with the elements currently in the set
java.util.concurrent.ConcurrentSkipListSet.floor(E),ClassCastException , if the specified element cannot be compared with the elements currently in the set
java.util.concurrent.ConcurrentSkipListSet.ceiling(E),ClassCastException , if the specified element cannot be compared with the elements currently in the set
java.util.concurrent.ConcurrentSkipListSet.higher(E),ClassCastException , if the specified element cannot be compared with the elements currently in the set
java.util.concurrent.ConcurrentSkipListSet.first(),NoSuchElementException , if this set is empty
java.util.concurrent.ConcurrentSkipListSet.last(),NoSuchElementException , if this set is empty
"java.util.concurrent.ConcurrentSkipListSet.subSet(E,boolean,E,boolean)",ClassCastException ," if fromElement and toElement cannot be compared to one another using this set's comparator (or, if the set has no comparator, using natural ordering). Implementations may, but are not required to, throw this exception if fromElement or toElement cannot be compared to elements currently in the set."
"java.util.concurrent.ConcurrentSkipListSet.headSet(E,boolean)",ClassCastException ," if toElement is not compatible with this set's comparator (or, if the set has no comparator, if toElement does not implement Comparable). Implementations may, but are not required to, throw this exception if toElement cannot be compared to elements currently in the set."
"java.util.concurrent.ConcurrentSkipListSet.tailSet(E,boolean)",ClassCastException ," if fromElement is not compatible with this set's comparator (or, if the set has no comparator, if fromElement does not implement Comparable). Implementations may, but are not required to, throw this exception if fromElement cannot be compared to elements currently in the set."
"java.util.concurrent.ConcurrentSkipListSet.subSet(E,E)",ClassCastException ," if fromElement and toElement cannot be compared to one another using this set's comparator (or, if the set has no comparator, using natural ordering). Implementations may, but are not required to, throw this exception if fromElement or toElement cannot be compared to elements currently in the set."
java.util.concurrent.ConcurrentSkipListSet.headSet(E),ClassCastException ," if toElement is not compatible with this set's comparator (or, if the set has no comparator, if toElement does not implement Comparable). Implementations may, but are not required to, throw this exception if toElement cannot be compared to elements currently in the set."
java.util.concurrent.ConcurrentSkipListSet.tailSet(E),ClassCastException ," if fromElement is not compatible with this set's comparator (or, if the set has no comparator, if fromElement does not implement Comparable). Implementations may, but are not required to, throw this exception if fromElement cannot be compared to elements currently in the set."
"java.util.concurrent.CopyOnWriteArrayList.indexOf(E,int)",IndexOutOfBoundsException , if the specified index is negative
"java.util.concurrent.CopyOnWriteArrayList.lastIndexOf(E,int)",IndexOutOfBoundsException , if the specified index is greater than or equal to the current size of this list
java.util.concurrent.CopyOnWriteArrayList.toArray(T[]),ArrayStoreException , if the runtime type of the specified array is not a supertype of the runtime type of every element in this list
java.util.concurrent.CopyOnWriteArrayList.get(int),IndexOutOfBoundsException , if the index is out of range (index &lt; 0 || index &gt;= size())
"java.util.concurrent.CopyOnWriteArrayList.set(int,E)",IndexOutOfBoundsException , if the index is out of range (index &lt; 0 || index &gt;= size())
"java.util.concurrent.CopyOnWriteArrayList.add(int,E)",IndexOutOfBoundsException , if the index is out of range (index &lt; 0 || index &gt; size())
java.util.concurrent.CopyOnWriteArrayList.remove(int),IndexOutOfBoundsException , if the index is out of range (index &lt; 0 || index &gt;= size())
java.util.concurrent.CopyOnWriteArrayList.containsAll(Collection&lt;?&gt;),NullPointerException , if the specified collection is null
java.util.concurrent.CopyOnWriteArrayList.removeAll(Collection&lt;?&gt;),ClassCastException , if the class of an element of this list is incompatible with the specified collection (optional)
java.util.concurrent.CopyOnWriteArrayList.retainAll(Collection&lt;?&gt;),ClassCastException , if the class of an element of this list is incompatible with the specified collection (optional)
java.util.concurrent.CopyOnWriteArrayList.addAllAbsent(Collection&lt;?),NullPointerException , if the specified collection is null
java.util.concurrent.CopyOnWriteArrayList.addAll(Collection&lt;?),NullPointerException , if the specified collection is null
"java.util.concurrent.CopyOnWriteArrayList.addAll(int,Collection&lt;?)",IndexOutOfBoundsException , if the index is out of range (index &lt; 0 || index &gt; size())
java.util.concurrent.CopyOnWriteArrayList.listIterator(int),IndexOutOfBoundsException , if the index is out of range (index &lt; 0 || index &gt; size())
"java.util.concurrent.CopyOnWriteArrayList.subList(int,int)",IndexOutOfBoundsException , for an illegal endpoint index value (fromIndex &lt; 0 || toIndex &gt; size || fromIndex &gt; toIndex)
java.util.concurrent.CopyOnWriteArraySet.toArray(T[]),ArrayStoreException , if the runtime type of the specified array is not a supertype of the runtime type of every element in this set
java.util.concurrent.CopyOnWriteArraySet.containsAll(Collection&lt;?&gt;),NullPointerException , if the specified collection is null
java.util.concurrent.CopyOnWriteArraySet.addAll(Collection&lt;?),NullPointerException , if the specified collection is null
java.util.concurrent.CopyOnWriteArraySet.removeAll(Collection&lt;?&gt;),ClassCastException , if the class of an element of this set is incompatible with the specified collection (optional)
java.util.concurrent.CopyOnWriteArraySet.retainAll(Collection&lt;?&gt;),ClassCastException , if the class of an element of this set is incompatible with the specified collection (optional)
java.util.concurrent.DelayQueue.add(E),NullPointerException , if the specified element is null
java.util.concurrent.DelayQueue.offer(E),NullPointerException , if the specified element is null
java.util.concurrent.DelayQueue.put(E),NullPointerException , if the specified element is null
"java.util.concurrent.DelayQueue.offer(E,long,TimeUnit)",NullPointerException , if the specified element is null
java.util.concurrent.DelayQueue.take(),InterruptedException , if interrupted while waiting
"java.util.concurrent.DelayQueue.poll(long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.DelayQueue.drainTo(Collection&lt;?),UnsupportedOperationException , if addition of elements is not supported by the specified collection
"java.util.concurrent.DelayQueue.drainTo(Collection&lt;?,int)",UnsupportedOperationException , if addition of elements is not supported by the specified collection
java.util.concurrent.DelayQueue.toArray(T[]),ArrayStoreException , if the runtime type of the specified array is not a supertype of the runtime type of every element in this queue
java.util.concurrent.ExecutorCompletionService.take(),InterruptedException , if interrupted while waiting
"java.util.concurrent.ExecutorCompletionService.poll(long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.Executors.newFixedThreadPool(int),IllegalArgumentException , if nThreads &lt;= 0
java.util.concurrent.Executors.newWorkStealingPool(int),IllegalArgumentException , if parallelism &lt;= 0
"java.util.concurrent.Executors.newFixedThreadPool(int,ThreadFactory)",NullPointerException , if threadFactory is null
java.util.concurrent.Executors.newSingleThreadExecutor(ThreadFactory),NullPointerException , if threadFactory is null
java.util.concurrent.Executors.newCachedThreadPool(ThreadFactory),NullPointerException , if threadFactory is null
java.util.concurrent.Executors.newSingleThreadScheduledExecutor(ThreadFactory),NullPointerException , if threadFactory is null
java.util.concurrent.Executors.newScheduledThreadPool(int),IllegalArgumentException , if corePoolSize &lt; 0
"java.util.concurrent.Executors.newScheduledThreadPool(int,ThreadFactory)",IllegalArgumentException , if corePoolSize &lt; 0
java.util.concurrent.Executors.unconfigurableExecutorService(ExecutorService),NullPointerException , if executor null
java.util.concurrent.Executors.unconfigurableScheduledExecutorService(ScheduledExecutorService),NullPointerException , if executor null
java.util.concurrent.Executors.privilegedThreadFactory(),AccessControlException , if the current access control context does not have permission to both get and set context class loader
"java.util.concurrent.Executors.callable(Runnable,T)",NullPointerException , if task null
java.util.concurrent.Executors.callable(Runnable),NullPointerException , if task null
java.util.concurrent.Executors.callable(PrivilegedAction&lt;?&gt;),NullPointerException , if action null
java.util.concurrent.Executors.callable(PrivilegedExceptionAction&lt;?&gt;),NullPointerException , if action null
java.util.concurrent.Executors.privilegedCallable(Callable&lt;T&gt;),NullPointerException , if callable null
java.util.concurrent.Executors.privilegedCallableUsingCurrentClassLoader(Callable&lt;T&gt;),NullPointerException , if callable null
java.util.concurrent.ForkJoinPool.invoke(ForkJoinTask&lt;T&gt;),NullPointerException , if the task is null
java.util.concurrent.ForkJoinPool.execute(ForkJoinTask&lt;?&gt;),NullPointerException , if the task is null
java.util.concurrent.ForkJoinPool.execute(Runnable),NullPointerException , if the task is null
java.util.concurrent.ForkJoinPool.submit(ForkJoinTask&lt;T&gt;),NullPointerException , if the task is null
java.util.concurrent.ForkJoinPool.submit(Callable&lt;T&gt;),NullPointerException , if the task is null
"java.util.concurrent.ForkJoinPool.submit(Runnable,T)",NullPointerException , if the task is null
java.util.concurrent.ForkJoinPool.submit(Runnable),NullPointerException , if the task is null
java.util.concurrent.ForkJoinPool.invokeAll(Collection&lt;?),NullPointerException , if tasks or any of its elements are null
java.util.concurrent.ForkJoinPool.shutdown(),SecurityException ," if a security manager exists and the caller is not permitted to modify threads because it does not hold RuntimePermission(""modifyThread"")"
java.util.concurrent.ForkJoinPool.shutdownNow(),SecurityException ," if a security manager exists and the caller is not permitted to modify threads because it does not hold RuntimePermission(""modifyThread"")"
"java.util.concurrent.ForkJoinPool.awaitTermination(long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.ForkJoinPool.managedBlock(ForkJoinPool.ManagedBlocker),InterruptedException , if blocker.block() did so
"java.util.concurrent.ForkJoinTask.invokeAll(ForkJoinTask&lt;?&gt;,ForkJoinTask&lt;?&gt;)",NullPointerException , if any task is null
java.util.concurrent.ForkJoinTask.invokeAll(ForkJoinTask&lt;?&gt;...),NullPointerException , if any task is null
java.util.concurrent.ForkJoinTask.invokeAll(Collection&lt;T&gt;),NullPointerException , if tasks or any element are null
java.util.concurrent.ForkJoinTask.get(),CancellationException , if the computation was cancelled
"java.util.concurrent.ForkJoinTask.get(long,TimeUnit)",CancellationException , if the computation was cancelled
java.util.concurrent.FutureTask.get(),CancellationException , if the computation was cancelled
"java.util.concurrent.FutureTask.get(long,TimeUnit)",CancellationException , if the computation was cancelled
java.util.concurrent.LinkedBlockingDeque.addFirst(E),IllegalStateException , if this deque is full
java.util.concurrent.LinkedBlockingDeque.addLast(E),IllegalStateException , if this deque is full
java.util.concurrent.LinkedBlockingDeque.offerFirst(E),NullPointerException , if the specified element is null
java.util.concurrent.LinkedBlockingDeque.offerLast(E),NullPointerException , if the specified element is null
java.util.concurrent.LinkedBlockingDeque.putFirst(E),NullPointerException , if the specified element is null
java.util.concurrent.LinkedBlockingDeque.putLast(E),NullPointerException , if the specified element is null
"java.util.concurrent.LinkedBlockingDeque.offerFirst(E,long,TimeUnit)",NullPointerException , if the specified element is null
"java.util.concurrent.LinkedBlockingDeque.offerLast(E,long,TimeUnit)",NullPointerException , if the specified element is null
java.util.concurrent.LinkedBlockingDeque.removeFirst(),NoSuchElementException , if this deque is empty
java.util.concurrent.LinkedBlockingDeque.removeLast(),NoSuchElementException , if this deque is empty
java.util.concurrent.LinkedBlockingDeque.takeFirst(),InterruptedException , if interrupted while waiting
java.util.concurrent.LinkedBlockingDeque.takeLast(),InterruptedException , if interrupted while waiting
"java.util.concurrent.LinkedBlockingDeque.pollFirst(long,TimeUnit)",InterruptedException , if interrupted while waiting
"java.util.concurrent.LinkedBlockingDeque.pollLast(long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.LinkedBlockingDeque.getFirst(),NoSuchElementException , if this deque is empty
java.util.concurrent.LinkedBlockingDeque.getLast(),NoSuchElementException , if this deque is empty
java.util.concurrent.LinkedBlockingDeque.add(E),IllegalStateException , if this deque is full
java.util.concurrent.LinkedBlockingDeque.offer(E),NullPointerException , if the specified element is null
java.util.concurrent.LinkedBlockingDeque.put(E),NullPointerException , if the specified element is null
"java.util.concurrent.LinkedBlockingDeque.offer(E,long,TimeUnit)",NullPointerException , if the specified element is null
java.util.concurrent.LinkedBlockingDeque.remove(),NoSuchElementException , if this deque is empty
java.util.concurrent.LinkedBlockingDeque.take(),InterruptedException , if interrupted while waiting
"java.util.concurrent.LinkedBlockingDeque.poll(long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.LinkedBlockingDeque.element(),NoSuchElementException , if this deque is empty
java.util.concurrent.LinkedBlockingDeque.drainTo(Collection&lt;?),UnsupportedOperationException , if addition of elements is not supported by the specified collection
"java.util.concurrent.LinkedBlockingDeque.drainTo(Collection&lt;?,int)",UnsupportedOperationException , if addition of elements is not supported by the specified collection
java.util.concurrent.LinkedBlockingDeque.push(E),IllegalStateException , if this deque is full
java.util.concurrent.LinkedBlockingDeque.pop(),NoSuchElementException , if this deque is empty
java.util.concurrent.LinkedBlockingDeque.toArray(T[]),ArrayStoreException , if the runtime type of the specified array is not a supertype of the runtime type of every element in this deque
java.util.concurrent.LinkedBlockingQueue.put(E),InterruptedException , if interrupted while waiting
"java.util.concurrent.LinkedBlockingQueue.offer(E,long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.LinkedBlockingQueue.offer(E),NullPointerException , if the specified element is null
java.util.concurrent.LinkedBlockingQueue.take(),InterruptedException , if interrupted while waiting
"java.util.concurrent.LinkedBlockingQueue.poll(long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.LinkedBlockingQueue.toArray(T[]),ArrayStoreException , if the runtime type of the specified array is not a supertype of the runtime type of every element in this queue
java.util.concurrent.LinkedBlockingQueue.drainTo(Collection&lt;?),UnsupportedOperationException , if addition of elements is not supported by the specified collection
"java.util.concurrent.LinkedBlockingQueue.drainTo(Collection&lt;?,int)",UnsupportedOperationException , if addition of elements is not supported by the specified collection
java.util.concurrent.LinkedTransferQueue.put(E),NullPointerException , if the specified element is null
"java.util.concurrent.LinkedTransferQueue.offer(E,long,TimeUnit)",NullPointerException , if the specified element is null
java.util.concurrent.LinkedTransferQueue.offer(E),NullPointerException , if the specified element is null
java.util.concurrent.LinkedTransferQueue.add(E),NullPointerException , if the specified element is null
java.util.concurrent.LinkedTransferQueue.tryTransfer(E),NullPointerException , if the specified element is null
java.util.concurrent.LinkedTransferQueue.transfer(E),NullPointerException , if the specified element is null
"java.util.concurrent.LinkedTransferQueue.tryTransfer(E,long,TimeUnit)",NullPointerException , if the specified element is null
java.util.concurrent.LinkedTransferQueue.take(),InterruptedException , if interrupted while waiting
"java.util.concurrent.LinkedTransferQueue.poll(long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.LinkedTransferQueue.drainTo(Collection&lt;?),NullPointerException , if the specified collection is null
"java.util.concurrent.LinkedTransferQueue.drainTo(Collection&lt;?,int)",NullPointerException , if the specified collection is null
java.util.concurrent.Phaser.register(),IllegalStateException , if attempting to register more than the maximum supported number of parties
java.util.concurrent.Phaser.bulkRegister(int),IllegalStateException , if attempting to register more than the maximum supported number of parties
java.util.concurrent.Phaser.arrive(),IllegalStateException , if not terminated and the number of unarrived parties would become negative
java.util.concurrent.Phaser.arriveAndDeregister(),IllegalStateException , if not terminated and the number of registered or unarrived parties would become negative
java.util.concurrent.Phaser.arriveAndAwaitAdvance(),IllegalStateException , if not terminated and the number of unarrived parties would become negative
java.util.concurrent.Phaser.awaitAdvanceInterruptibly(int),InterruptedException , if thread interrupted while waiting
"java.util.concurrent.Phaser.awaitAdvanceInterruptibly(int,long,TimeUnit)",InterruptedException , if thread interrupted while waiting
java.util.concurrent.PriorityBlockingQueue.add(E),ClassCastException , if the specified element cannot be compared with elements currently in the priority queue according to the priority queue's ordering
java.util.concurrent.PriorityBlockingQueue.offer(E),ClassCastException , if the specified element cannot be compared with elements currently in the priority queue according to the priority queue's ordering
java.util.concurrent.PriorityBlockingQueue.put(E),ClassCastException , if the specified element cannot be compared with elements currently in the priority queue according to the priority queue's ordering
"java.util.concurrent.PriorityBlockingQueue.offer(E,long,TimeUnit)",ClassCastException , if the specified element cannot be compared with elements currently in the priority queue according to the priority queue's ordering
java.util.concurrent.PriorityBlockingQueue.take(),InterruptedException , if interrupted while waiting
"java.util.concurrent.PriorityBlockingQueue.poll(long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.PriorityBlockingQueue.drainTo(Collection&lt;?),UnsupportedOperationException , if addition of elements is not supported by the specified collection
"java.util.concurrent.PriorityBlockingQueue.drainTo(Collection&lt;?,int)",UnsupportedOperationException , if addition of elements is not supported by the specified collection
java.util.concurrent.PriorityBlockingQueue.toArray(T[]),ArrayStoreException , if the runtime type of the specified array is not a supertype of the runtime type of every element in this queue
"java.util.concurrent.ScheduledThreadPoolExecutor.schedule(Runnable,long,TimeUnit)",RejectedExecutionException , if the task cannot be scheduled for execution
"java.util.concurrent.ScheduledThreadPoolExecutor.schedule(Callable&lt;V&gt;,long,TimeUnit)",RejectedExecutionException , if the task cannot be scheduled for execution
"java.util.concurrent.ScheduledThreadPoolExecutor.scheduleAtFixedRate(Runnable,long,long,TimeUnit)",RejectedExecutionException , if the task cannot be scheduled for execution
"java.util.concurrent.ScheduledThreadPoolExecutor.scheduleWithFixedDelay(Runnable,long,long,TimeUnit)",RejectedExecutionException , if the task cannot be scheduled for execution
java.util.concurrent.ScheduledThreadPoolExecutor.execute(Runnable),RejectedExecutionException ," at discretion of RejectedExecutionHandler, if the task cannot be accepted for execution because the executor has been shut down"
java.util.concurrent.ScheduledThreadPoolExecutor.submit(Runnable),RejectedExecutionException , if the task cannot be scheduled for execution
"java.util.concurrent.ScheduledThreadPoolExecutor.submit(Runnable,T)",RejectedExecutionException , if the task cannot be scheduled for execution
java.util.concurrent.ScheduledThreadPoolExecutor.submit(Callable&lt;T&gt;),RejectedExecutionException , if the task cannot be scheduled for execution
java.util.concurrent.ScheduledThreadPoolExecutor.shutdown(),SecurityException ," if a security manager exists and shutting down this ExecutorService may manipulate threads that the caller is not permitted to modify because it does not hold RuntimePermission(""modifyThread""), or the security manager's checkAccess method denies access."
java.util.concurrent.ScheduledThreadPoolExecutor.shutdownNow(),SecurityException ," if a security manager exists and shutting down this ExecutorService may manipulate threads that the caller is not permitted to modify because it does not hold RuntimePermission(""modifyThread""), or the security manager's checkAccess method denies access."
java.util.concurrent.Semaphore.acquireUninterruptibly(int),IllegalArgumentException , if permits is negative
java.util.concurrent.Semaphore.tryAcquire(int),IllegalArgumentException , if permits is negative
java.util.concurrent.Semaphore.release(int),IllegalArgumentException , if permits is negative
java.util.concurrent.Semaphore.reducePermits(int),IllegalArgumentException , if reduction is negative
java.util.concurrent.SynchronousQueue.put(E),InterruptedException , if interrupted while waiting
"java.util.concurrent.SynchronousQueue.offer(E,long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.SynchronousQueue.offer(E),NullPointerException , if the specified element is null
java.util.concurrent.SynchronousQueue.take(),InterruptedException , if interrupted while waiting
"java.util.concurrent.SynchronousQueue.poll(long,TimeUnit)",InterruptedException , if interrupted while waiting
java.util.concurrent.SynchronousQueue.toArray(T[]),NullPointerException , if the specified array is null
java.util.concurrent.SynchronousQueue.drainTo(Collection&lt;?),UnsupportedOperationException , if addition of elements is not supported by the specified collection
"java.util.concurrent.SynchronousQueue.drainTo(Collection&lt;?,int)",UnsupportedOperationException , if addition of elements is not supported by the specified collection
java.util.concurrent.ThreadLocalRandom.setSeed(long),UnsupportedOperationException , always
java.util.concurrent.ThreadLocalRandom.nextInt(int),IllegalArgumentException , if bound is not positive
"java.util.concurrent.ThreadLocalRandom.nextInt(int,int)",IllegalArgumentException , if origin is greater than or equal to bound
java.util.concurrent.ThreadLocalRandom.nextLong(long),IllegalArgumentException , if bound is not positive
"java.util.concurrent.ThreadLocalRandom.nextLong(long,long)",IllegalArgumentException , if origin is greater than or equal to bound
java.util.concurrent.ThreadLocalRandom.nextDouble(double),IllegalArgumentException , if bound is not positive
"java.util.concurrent.ThreadLocalRandom.nextDouble(double,double)",IllegalArgumentException , if origin is greater than or equal to bound
java.util.concurrent.ThreadLocalRandom.ints(long),IllegalArgumentException , if streamSize is less than zero
"java.util.concurrent.ThreadLocalRandom.ints(long,int,int)",IllegalArgumentException ," if streamSize is less than zero, or randomNumberOrigin is greater than or equal to randomNumberBound"
"java.util.concurrent.ThreadLocalRandom.ints(int,int)",IllegalArgumentException , if randomNumberOrigin is greater than or equal to randomNumberBound
