method,type,parameter,parameter_description
javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeNames(String),String,javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeNames(String).elementName , the name of the element being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeValueType(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeValueType(String,String).elementName ", the name of the element being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeValueType(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeValueType(String,String).attrName ", the name of the attribute being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDataType(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDataType(String,String).elementName ", the name of the element being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDataType(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDataType(String,String).attrName ", the name of the attribute being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.isAttributeRequired(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.isAttributeRequired(String,String).elementName ", the name of the element being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.isAttributeRequired(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.isAttributeRequired(String,String).attrName ", the name of the attribute being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDefaultValue(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDefaultValue(String,String).elementName ", the name of the element being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDefaultValue(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDefaultValue(String,String).attrName ", the name of the attribute being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeEnumerations(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeEnumerations(String,String).elementName ", the name of the element being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeEnumerations(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeEnumerations(String,String).attrName ", the name of the attribute being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeMinValue(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeMinValue(String,String).elementName ", the name of the element being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeMinValue(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeMinValue(String,String).attrName ", the name of the attribute being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeMaxValue(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeMaxValue(String,String).elementName "," the name of the element being queried, as a String."
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeMaxValue(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeMaxValue(String,String).attrName ", the name of the attribute being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeListMinLength(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeListMinLength(String,String).elementName ", the name of the element being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeListMinLength(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeListMinLength(String,String).attrName ", the name of the attribute being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeListMaxLength(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeListMaxLength(String,String).elementName ", the name of the element being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeListMaxLength(String,String)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeListMaxLength(String,String).attrName ", the name of the attribute being queried.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDescription(String,String,Locale)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDescription(String,String,Locale).elementName ", the name of the element.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDescription(String,String,Locale)",String,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDescription(String,String,Locale).attrName ", the name of the attribute.
"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDescription(String,String,Locale)",Locale,"javax.imageio.metadata.IIOMetadataFormatImpl.getAttributeDescription(String,String,Locale).locale "," the Locale for which localization will be attempted, or null."
javax.imageio.metadata.IIOMetadataFormatImpl.getObjectValueType(String),String,javax.imageio.metadata.IIOMetadataFormatImpl.getObjectValueType(String).elementName , the name of the element being queried.
javax.imageio.metadata.IIOMetadataFormatImpl.getObjectClass(String),String,javax.imageio.metadata.IIOMetadataFormatImpl.getObjectClass(String).elementName , the name of the element being queried.
javax.imageio.metadata.IIOMetadataFormatImpl.getObjectDefaultValue(String),String,javax.imageio.metadata.IIOMetadataFormatImpl.getObjectDefaultValue(String).elementName , the name of the element being queried.
javax.imageio.metadata.IIOMetadataFormatImpl.getObjectEnumerations(String),String,javax.imageio.metadata.IIOMetadataFormatImpl.getObjectEnumerations(String).elementName , the name of the element being queried.
javax.imageio.metadata.IIOMetadataFormatImpl.getObjectMinValue(String),String,javax.imageio.metadata.IIOMetadataFormatImpl.getObjectMinValue(String).elementName , the name of the element being queried.
javax.imageio.metadata.IIOMetadataFormatImpl.getObjectMaxValue(String),String,javax.imageio.metadata.IIOMetadataFormatImpl.getObjectMaxValue(String).elementName , the name of the element being queried.
javax.imageio.metadata.IIOMetadataFormatImpl.getObjectArrayMinLength(String),String,javax.imageio.metadata.IIOMetadataFormatImpl.getObjectArrayMinLength(String).elementName , the name of the element being queried.
javax.imageio.metadata.IIOMetadataFormatImpl.getObjectArrayMaxLength(String),String,javax.imageio.metadata.IIOMetadataFormatImpl.getObjectArrayMaxLength(String).elementName , the name of the element being queried.
"javax.imageio.metadata.IIOMetadataNode.insertBefore(Node,Node)",Node,"javax.imageio.metadata.IIOMetadataNode.insertBefore(Node,Node).newChild ", the Node to insert.
"javax.imageio.metadata.IIOMetadataNode.insertBefore(Node,Node)",Node,"javax.imageio.metadata.IIOMetadataNode.insertBefore(Node,Node).refChild ", the reference Node.
"javax.imageio.metadata.IIOMetadataNode.replaceChild(Node,Node)",Node,"javax.imageio.metadata.IIOMetadataNode.replaceChild(Node,Node).newChild ", the Node to insert.
"javax.imageio.metadata.IIOMetadataNode.replaceChild(Node,Node)",Node,"javax.imageio.metadata.IIOMetadataNode.replaceChild(Node,Node).oldChild ", the Node to be replaced.
javax.imageio.metadata.IIOMetadataNode.removeChild(Node),Node,javax.imageio.metadata.IIOMetadataNode.removeChild(Node).oldChild , the Node to be removed.
javax.imageio.metadata.IIOMetadataNode.appendChild(Node),Node,javax.imageio.metadata.IIOMetadataNode.appendChild(Node).newChild , the Node to insert.
javax.imageio.metadata.IIOMetadataNode.cloneNode(boolean),boolean,javax.imageio.metadata.IIOMetadataNode.cloneNode(boolean).deep ," if true, recursively clone the subtree under the specified node; if false, clone only the node itself."
"javax.imageio.metadata.IIOMetadataNode.isSupported(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.isSupported(String,String).feature "," a String, which is ignored."
"javax.imageio.metadata.IIOMetadataNode.isSupported(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.isSupported(String,String).version "," a String, which is ignored."
javax.imageio.metadata.IIOMetadataNode.setPrefix(String),String,javax.imageio.metadata.IIOMetadataNode.setPrefix(String).prefix ," a String, which is ignored."
javax.imageio.metadata.IIOMetadataNode.getAttribute(String),String,javax.imageio.metadata.IIOMetadataNode.getAttribute(String).name , The name of the attribute to retrieve.
"javax.imageio.metadata.IIOMetadataNode.getAttributeNS(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.getAttributeNS(String,String).namespaceURI ", The namespace URI of the attribute to retrieve.
"javax.imageio.metadata.IIOMetadataNode.getAttributeNS(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.getAttributeNS(String,String).localName ", The local name of the attribute to retrieve.
"javax.imageio.metadata.IIOMetadataNode.setAttributeNS(String,String,String)",String,"javax.imageio.metadata.IIOMetadataNode.setAttributeNS(String,String,String).namespaceURI ", The namespace URI of the attribute to create or alter.
"javax.imageio.metadata.IIOMetadataNode.setAttributeNS(String,String,String)",String,"javax.imageio.metadata.IIOMetadataNode.setAttributeNS(String,String,String).qualifiedName ", The qualified name of the attribute to create or alter.
"javax.imageio.metadata.IIOMetadataNode.setAttributeNS(String,String,String)",String,"javax.imageio.metadata.IIOMetadataNode.setAttributeNS(String,String,String).value ", The value to set in string form.
javax.imageio.metadata.IIOMetadataNode.getAttributeNode(String),String,javax.imageio.metadata.IIOMetadataNode.getAttributeNode(String).name , The name (nodeName) of the attribute to retrieve.
"javax.imageio.metadata.IIOMetadataNode.getAttributeNodeNS(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.getAttributeNodeNS(String,String).namespaceURI ", The namespace URI of the attribute to retrieve.
"javax.imageio.metadata.IIOMetadataNode.getAttributeNodeNS(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.getAttributeNodeNS(String,String).localName ", The local name of the attribute to retrieve.
javax.imageio.metadata.IIOMetadataNode.setAttributeNode(Attr),Attr,javax.imageio.metadata.IIOMetadataNode.setAttributeNode(Attr).newAttr , The Attr node to add to the attribute list.
javax.imageio.metadata.IIOMetadataNode.setAttributeNodeNS(Attr),Attr,javax.imageio.metadata.IIOMetadataNode.setAttributeNodeNS(Attr).newAttr , The Attr node to add to the attribute list.
javax.imageio.metadata.IIOMetadataNode.removeAttributeNode(Attr),Attr,javax.imageio.metadata.IIOMetadataNode.removeAttributeNode(Attr).oldAttr , The Attr node to remove from the attribute list.
javax.imageio.metadata.IIOMetadataNode.getElementsByTagName(String),String,javax.imageio.metadata.IIOMetadataNode.getElementsByTagName(String).name ," The name of the tag to match on. The special value ""*"" matches all tags."
"javax.imageio.metadata.IIOMetadataNode.getElementsByTagNameNS(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.getElementsByTagNameNS(String,String).namespaceURI "," The namespace URI of the elements to match on. The special value ""*"" matches all namespaces."
"javax.imageio.metadata.IIOMetadataNode.getElementsByTagNameNS(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.getElementsByTagNameNS(String,String).localName "," The local name of the elements to match on. The special value ""*"" matches all local names."
javax.imageio.metadata.IIOMetadataNode.hasAttribute(String),String,javax.imageio.metadata.IIOMetadataNode.hasAttribute(String).name , The name of the attribute to look for.
"javax.imageio.metadata.IIOMetadataNode.hasAttributeNS(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.hasAttributeNS(String,String).namespaceURI ", The namespace URI of the attribute to look for.
"javax.imageio.metadata.IIOMetadataNode.hasAttributeNS(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.hasAttributeNS(String,String).localName ", The local name of the attribute to look for.
javax.imageio.metadata.IIOMetadataNode.item(int),int,javax.imageio.metadata.IIOMetadataNode.item(int).index , Index into the collection.
javax.imageio.metadata.IIOMetadataNode.setUserObject(Object),Object,javax.imageio.metadata.IIOMetadataNode.setUserObject(Object).userObject , the user Object.
"javax.imageio.metadata.IIOMetadataNode.setIdAttribute(String,boolean)",String,"javax.imageio.metadata.IIOMetadataNode.setIdAttribute(String,boolean).name ", The name of the attribute.
"javax.imageio.metadata.IIOMetadataNode.setIdAttribute(String,boolean)",boolean,"javax.imageio.metadata.IIOMetadataNode.setIdAttribute(String,boolean).isId ", Whether the attribute is a of type ID.
"javax.imageio.metadata.IIOMetadataNode.setIdAttributeNS(String,String,boolean)",String,"javax.imageio.metadata.IIOMetadataNode.setIdAttributeNS(String,String,boolean).namespaceURI ", The namespace URI of the attribute.
"javax.imageio.metadata.IIOMetadataNode.setIdAttributeNS(String,String,boolean)",String,"javax.imageio.metadata.IIOMetadataNode.setIdAttributeNS(String,String,boolean).localName ", The local name of the attribute.
"javax.imageio.metadata.IIOMetadataNode.setIdAttributeNS(String,String,boolean)",boolean,"javax.imageio.metadata.IIOMetadataNode.setIdAttributeNS(String,String,boolean).isId ", Whether the attribute is a of type ID.
"javax.imageio.metadata.IIOMetadataNode.setIdAttributeNode(Attr,boolean)",Attr,"javax.imageio.metadata.IIOMetadataNode.setIdAttributeNode(Attr,boolean).idAttr ", The attribute node.
"javax.imageio.metadata.IIOMetadataNode.setIdAttributeNode(Attr,boolean)",boolean,"javax.imageio.metadata.IIOMetadataNode.setIdAttributeNode(Attr,boolean).isId ", Whether the attribute is a of type ID.
"javax.imageio.metadata.IIOMetadataNode.setUserData(String,Object,UserDataHandler)",String,"javax.imageio.metadata.IIOMetadataNode.setUserData(String,Object,UserDataHandler).key ", The key to associate the object to.
"javax.imageio.metadata.IIOMetadataNode.setUserData(String,Object,UserDataHandler)",Object,"javax.imageio.metadata.IIOMetadataNode.setUserData(String,Object,UserDataHandler).data "," The object to associate to the given key, or null to remove any existing association to that key."
"javax.imageio.metadata.IIOMetadataNode.setUserData(String,Object,UserDataHandler)",UserDataHandler,"javax.imageio.metadata.IIOMetadataNode.setUserData(String,Object,UserDataHandler).handler "," The handler to associate to that key, or null."
javax.imageio.metadata.IIOMetadataNode.getUserData(String),String,javax.imageio.metadata.IIOMetadataNode.getUserData(String).key , The key the object is associated to.
"javax.imageio.metadata.IIOMetadataNode.getFeature(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.getFeature(String,String).feature "," The name of the feature requested. Note that any plus sign ""+"" prepended to the name of the feature will be ignored since it is not significant in the context of this method."
"javax.imageio.metadata.IIOMetadataNode.getFeature(String,String)",String,"javax.imageio.metadata.IIOMetadataNode.getFeature(String,String).version ", This is the version number of the feature to test.
javax.imageio.metadata.IIOMetadataNode.isSameNode(Node),Node,javax.imageio.metadata.IIOMetadataNode.isSameNode(Node).node , The node to test against.
javax.imageio.metadata.IIOMetadataNode.isEqualNode(Node),Node,javax.imageio.metadata.IIOMetadataNode.isEqualNode(Node).node , The node to compare equality with.
javax.imageio.metadata.IIOMetadataNode.lookupNamespaceURI(String),String,javax.imageio.metadata.IIOMetadataNode.lookupNamespaceURI(String).prefix ," The prefix to look for. If this parameter is null, the method will return the default namespace URI if any."
javax.imageio.metadata.IIOMetadataNode.isDefaultNamespace(String),String,javax.imageio.metadata.IIOMetadataNode.isDefaultNamespace(String).namespaceURI , The namespace URI to look for.
javax.imageio.metadata.IIOMetadataNode.lookupPrefix(String),String,javax.imageio.metadata.IIOMetadataNode.lookupPrefix(String).namespaceURI , The namespace URI to look for.
javax.imageio.metadata.IIOMetadataNode.compareDocumentPosition(Node),Node,javax.imageio.metadata.IIOMetadataNode.compareDocumentPosition(Node).other , The node to compare against the reference node.
"javax.imageio.plugins.jpeg.JPEGImageReadParam.setDecodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[])",JPEGQTable[],"javax.imageio.plugins.jpeg.JPEGImageReadParam.setDecodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[]).qTables ", an array of quantization table objects.
"javax.imageio.plugins.jpeg.JPEGImageReadParam.setDecodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[])",JPEGHuffmanTable[],"javax.imageio.plugins.jpeg.JPEGImageReadParam.setDecodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[]).DCHuffmanTables ", an array of Huffman table objects.
"javax.imageio.plugins.jpeg.JPEGImageReadParam.setDecodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[])",JPEGHuffmanTable[],"javax.imageio.plugins.jpeg.JPEGImageReadParam.setDecodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[]).ACHuffmanTables ", an array of Huffman table objects.
"javax.imageio.plugins.jpeg.JPEGImageWriteParam.setEncodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[])",JPEGQTable[],"javax.imageio.plugins.jpeg.JPEGImageWriteParam.setEncodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[]).qTables ", An array of quantization table objects.
"javax.imageio.plugins.jpeg.JPEGImageWriteParam.setEncodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[])",JPEGHuffmanTable[],"javax.imageio.plugins.jpeg.JPEGImageWriteParam.setEncodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[]).DCHuffmanTables ", An array of Huffman table objects.
"javax.imageio.plugins.jpeg.JPEGImageWriteParam.setEncodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[])",JPEGHuffmanTable[],"javax.imageio.plugins.jpeg.JPEGImageWriteParam.setEncodeTables(JPEGQTable[],JPEGHuffmanTable[],JPEGHuffmanTable[]).ACHuffmanTables ", An array of Huffman table objects.
javax.imageio.plugins.jpeg.JPEGImageWriteParam.setOptimizeHuffmanTables(boolean),boolean,javax.imageio.plugins.jpeg.JPEGImageWriteParam.setOptimizeHuffmanTables(boolean).optimize , A boolean indicating whether to generate optimized Huffman tables when writing.
"javax.imageio.plugins.jpeg.JPEGQTable.getScaledInstance(float,boolean)",float,"javax.imageio.plugins.jpeg.JPEGQTable.getScaledInstance(float,boolean).scaleFactor ", multiplication factor for the table.
"javax.imageio.plugins.jpeg.JPEGQTable.getScaledInstance(float,boolean)",boolean,"javax.imageio.plugins.jpeg.JPEGQTable.getScaledInstance(float,boolean).forceBaseline "," if true, the values will be clamped to the range 1..255"
"javax.imageio.spi.IIOServiceProvider.onRegistration(ServiceRegistry,Class&lt;?&gt;)",ServiceRegistry,"javax.imageio.spi.IIOServiceProvider.onRegistration(ServiceRegistry,Class&lt;?&gt;).registry ", a ServiceRegistry where this object has been registered.
"javax.imageio.spi.IIOServiceProvider.onRegistration(ServiceRegistry,Class&lt;?&gt;)",Class&lt;?&gt;,"javax.imageio.spi.IIOServiceProvider.onRegistration(ServiceRegistry,Class&lt;?&gt;).category ", a Class object indicating the registry category under which this object has been registered.
"javax.imageio.spi.IIOServiceProvider.onDeregistration(ServiceRegistry,Class&lt;?&gt;)",ServiceRegistry,"javax.imageio.spi.IIOServiceProvider.onDeregistration(ServiceRegistry,Class&lt;?&gt;).registry ", a ServiceRegistry from which this object is being (wholly or partially) deregistered.
"javax.imageio.spi.IIOServiceProvider.onDeregistration(ServiceRegistry,Class&lt;?&gt;)",Class&lt;?&gt;,"javax.imageio.spi.IIOServiceProvider.onDeregistration(ServiceRegistry,Class&lt;?&gt;).category ", a Class object indicating the registry category from which this object is being deregistered.
javax.imageio.spi.IIOServiceProvider.getDescription(Locale),Locale,javax.imageio.spi.IIOServiceProvider.getDescription(Locale).locale , a Locale for which the return value should be localized.
"javax.imageio.spi.ImageInputStreamSpi.createInputStreamInstance(Object,boolean,File)",Object,"javax.imageio.spi.ImageInputStreamSpi.createInputStreamInstance(Object,boolean,File).input ", an object of the class type returned by getInputClass.
"javax.imageio.spi.ImageInputStreamSpi.createInputStreamInstance(Object,boolean,File)",boolean,"javax.imageio.spi.ImageInputStreamSpi.createInputStreamInstance(Object,boolean,File).useCache "," a boolean indicating whether a cache file should be used, in cases where it is optional."
"javax.imageio.spi.ImageInputStreamSpi.createInputStreamInstance(Object,boolean,File)",File,"javax.imageio.spi.ImageInputStreamSpi.createInputStreamInstance(Object,boolean,File).cacheDir "," a File indicating where the cache file should be created, or null to use the system directory."
javax.imageio.spi.ImageInputStreamSpi.createInputStreamInstance(Object),Object,javax.imageio.spi.ImageInputStreamSpi.createInputStreamInstance(Object).input , an object of the class type returned by getInputClass.
"javax.imageio.spi.ImageOutputStreamSpi.createOutputStreamInstance(Object,boolean,File)",Object,"javax.imageio.spi.ImageOutputStreamSpi.createOutputStreamInstance(Object,boolean,File).output ", an object of the class type returned by getOutputClass.
"javax.imageio.spi.ImageOutputStreamSpi.createOutputStreamInstance(Object,boolean,File)",boolean,"javax.imageio.spi.ImageOutputStreamSpi.createOutputStreamInstance(Object,boolean,File).useCache "," a boolean indicating whether a cache file should be used, in cases where it is optional."
"javax.imageio.spi.ImageOutputStreamSpi.createOutputStreamInstance(Object,boolean,File)",File,"javax.imageio.spi.ImageOutputStreamSpi.createOutputStreamInstance(Object,boolean,File).cacheDir "," a File indicating where the cache file should be created, or null to use the system directory."
javax.imageio.spi.ImageOutputStreamSpi.createOutputStreamInstance(Object),Object,javax.imageio.spi.ImageOutputStreamSpi.createOutputStreamInstance(Object).output , an object of the class type returned by getOutputClass.
javax.imageio.spi.ImageReaderSpi.canDecodeInput(Object),Object,javax.imageio.spi.ImageReaderSpi.canDecodeInput(Object).source , the object (typically an ImageInputStream) to be decoded.
javax.imageio.spi.ImageReaderSpi.createReaderInstance(Object),Object,javax.imageio.spi.ImageReaderSpi.createReaderInstance(Object).extension , a plug
javax.imageio.spi.ImageReaderSpi.isOwnReader(ImageReader),ImageReader,javax.imageio.spi.ImageReaderSpi.isOwnReader(ImageReader).reader , an ImageReader instance.
javax.imageio.spi.ImageReaderWriterSpi.getStreamMetadataFormat(String),String,javax.imageio.spi.ImageReaderWriterSpi.getStreamMetadataFormat(String).formatName , the desired stream metadata format.
javax.imageio.spi.ImageReaderWriterSpi.getImageMetadataFormat(String),String,javax.imageio.spi.ImageReaderWriterSpi.getImageMetadataFormat(String).formatName , the desired image metadata format.
javax.imageio.spi.ImageWriterSpi.canEncodeImage(ImageTypeSpecifier),ImageTypeSpecifier,javax.imageio.spi.ImageWriterSpi.canEncodeImage(ImageTypeSpecifier).type , an ImageTypeSpecifier specifying the layout of the image to be written.
javax.imageio.spi.ImageWriterSpi.canEncodeImage(RenderedImage),RenderedImage,javax.imageio.spi.ImageWriterSpi.canEncodeImage(RenderedImage).im , an instance of RenderedImage to be encoded.
javax.imageio.spi.ImageWriterSpi.createWriterInstance(Object),Object,javax.imageio.spi.ImageWriterSpi.createWriterInstance(Object).extension , a plug
javax.imageio.spi.ImageWriterSpi.isOwnWriter(ImageWriter),ImageWriter,javax.imageio.spi.ImageWriterSpi.isOwnWriter(ImageWriter).writer , an ImageWriter instance.
"javax.imageio.spi.ServiceRegistry.lookupProviders(Class&lt;T&gt;,ClassLoader)",Class&lt;T&gt;,"javax.imageio.spi.ServiceRegistry.lookupProviders(Class&lt;T&gt;,ClassLoader).providerClass ", a Classobject indicating the class or interface of the service providers being detected.
"javax.imageio.spi.ServiceRegistry.lookupProviders(Class&lt;T&gt;,ClassLoader)",ClassLoader,"javax.imageio.spi.ServiceRegistry.lookupProviders(Class&lt;T&gt;,ClassLoader).loader ", the class loader to be used to load provider
javax.imageio.spi.ServiceRegistry.lookupProviders(Class&lt;T&gt;),Class&lt;T&gt;,javax.imageio.spi.ServiceRegistry.lookupProviders(Class&lt;T&gt;).providerClass , a Classobject indicating the class or interface of the service providers being detected.
"javax.imageio.spi.ServiceRegistry.registerServiceProvider(T,Class&lt;T&gt;)",T,"javax.imageio.spi.ServiceRegistry.registerServiceProvider(T,Class&lt;T&gt;).provider ", the service provide object to be registered.
"javax.imageio.spi.ServiceRegistry.registerServiceProvider(T,Class&lt;T&gt;)",Class&lt;T&gt;,"javax.imageio.spi.ServiceRegistry.registerServiceProvider(T,Class&lt;T&gt;).category ", the category under which to register the provider.
javax.imageio.spi.ServiceRegistry.registerServiceProvider(Object),Object,javax.imageio.spi.ServiceRegistry.registerServiceProvider(Object).provider , the service provider object to be registered.
javax.imageio.spi.ServiceRegistry.registerServiceProviders(Iterator&lt;?&gt;),Iterator&lt;?&gt;,javax.imageio.spi.ServiceRegistry.registerServiceProviders(Iterator&lt;?&gt;).providers , an Iterator containing service provider objects to be registered.
"javax.imageio.spi.ServiceRegistry.deregisterServiceProvider(T,Class&lt;T&gt;)",T,"javax.imageio.spi.ServiceRegistry.deregisterServiceProvider(T,Class&lt;T&gt;).provider ", the service provider object to be deregistered.
"javax.imageio.spi.ServiceRegistry.deregisterServiceProvider(T,Class&lt;T&gt;)",Class&lt;T&gt;,"javax.imageio.spi.ServiceRegistry.deregisterServiceProvider(T,Class&lt;T&gt;).category ", the category from which to deregister the provider.
javax.imageio.spi.ServiceRegistry.deregisterServiceProvider(Object),Object,javax.imageio.spi.ServiceRegistry.deregisterServiceProvider(Object).provider , the service provider object to be deregistered.
javax.imageio.spi.ServiceRegistry.contains(Object),Object,javax.imageio.spi.ServiceRegistry.contains(Object).provider , the service provider object to be queried.
"javax.imageio.spi.ServiceRegistry.getServiceProviders(Class&lt;T&gt;,boolean)",Class&lt;T&gt;,"javax.imageio.spi.ServiceRegistry.getServiceProviders(Class&lt;T&gt;,boolean).category ", the category to be retrieved from.
"javax.imageio.spi.ServiceRegistry.getServiceProviders(Class&lt;T&gt;,boolean)",boolean,"javax.imageio.spi.ServiceRegistry.getServiceProviders(Class&lt;T&gt;,boolean).useOrdering ", true if pairwise orderings should be taken account in ordering the returned objects.
"javax.imageio.spi.ServiceRegistry.getServiceProviders(Class&lt;T&gt;,ServiceRegistry.Filter,boolean)",Class&lt;T&gt;,"javax.imageio.spi.ServiceRegistry.getServiceProviders(Class&lt;T&gt;,ServiceRegistry.Filter,boolean).category ", the category to be retrieved from.
"javax.imageio.spi.ServiceRegistry.getServiceProviders(Class&lt;T&gt;,ServiceRegistry.Filter,boolean)",ServiceRegistry.Filter,"javax.imageio.spi.ServiceRegistry.getServiceProviders(Class&lt;T&gt;,ServiceRegistry.Filter,boolean).filter ", an instance of ServiceRegistry.Filter whose filter method will be invoked.
"javax.imageio.spi.ServiceRegistry.getServiceProviders(Class&lt;T&gt;,ServiceRegistry.Filter,boolean)",boolean,"javax.imageio.spi.ServiceRegistry.getServiceProviders(Class&lt;T&gt;,ServiceRegistry.Filter,boolean).useOrdering ", true if pairwise orderings should be taken account in ordering the returned objects.
javax.imageio.spi.ServiceRegistry.getServiceProviderByClass(Class&lt;T&gt;),Class&lt;T&gt;,javax.imageio.spi.ServiceRegistry.getServiceProviderByClass(Class&lt;T&gt;).providerClass , the Class of the desired service provider object.
"javax.imageio.spi.ServiceRegistry.setOrdering(Class&lt;T&gt;,T,T)",Class&lt;T&gt;,"javax.imageio.spi.ServiceRegistry.setOrdering(Class&lt;T&gt;,T,T).category ", a Class object indicating the category under which the preference is to be established.
"javax.imageio.spi.ServiceRegistry.setOrdering(Class&lt;T&gt;,T,T)",T,"javax.imageio.spi.ServiceRegistry.setOrdering(Class&lt;T&gt;,T,T).firstProvider ", the preferred provider.
"javax.imageio.spi.ServiceRegistry.setOrdering(Class&lt;T&gt;,T,T)",T,"javax.imageio.spi.ServiceRegistry.setOrdering(Class&lt;T&gt;,T,T).secondProvider ", the provider to which firstProvider is preferred.
"javax.imageio.spi.ServiceRegistry.unsetOrdering(Class&lt;T&gt;,T,T)",Class&lt;T&gt;,"javax.imageio.spi.ServiceRegistry.unsetOrdering(Class&lt;T&gt;,T,T).category ", a Class object indicating the category under which the preference is to be disestablished.
"javax.imageio.spi.ServiceRegistry.unsetOrdering(Class&lt;T&gt;,T,T)",T,"javax.imageio.spi.ServiceRegistry.unsetOrdering(Class&lt;T&gt;,T,T).firstProvider ", the formerly preferred provider.
"javax.imageio.spi.ServiceRegistry.unsetOrdering(Class&lt;T&gt;,T,T)",T,"javax.imageio.spi.ServiceRegistry.unsetOrdering(Class&lt;T&gt;,T,T).secondProvider ", the provider to which firstProvider was formerly preferred.
javax.imageio.spi.ServiceRegistry.deregisterAll(Class&lt;?&gt;),Class&lt;?&gt;,javax.imageio.spi.ServiceRegistry.deregisterAll(Class&lt;?&gt;).category , the category to be emptied.
"javax.imageio.stream.FileCacheImageInputStream.read(byte[],int,int)",byte[],"javax.imageio.stream.FileCacheImageInputStream.read(byte[],int,int).b ", an array of bytes to be written to.
